daya_listrik,kulkas_inverter,kulkas_num,kulkas_power,kulkas_consume_hour,ac_inverter,ac_num,ac_consume_hour,ac_power,lamp_type,lamp_num,lamp_consume_hour,lamp_power,co2_per_month,kwh_per_month,price_per_month
5500,belum,20,200,14,sudah,19,3,340,neon,1,4,89,6595.76,2272.08,3860263.92
2200,sudah,20,70,4,sudah,0,21,130,neon,23,21,87,1354.5,1428.63,2062941.7200000002
900,belum,0,130,2,sudah,6,7,0,neon,28,13,72,4279.69,786.24,1062996.48
2200,belum,13,340,0,belum,20,9,390,led,16,6,99,3451.64,2391.12,3452777.28
1300,sudah,5,120,6,sudah,17,9,250,pijar,37,21,6,15241.93,1395.36,2014899.8399999999
2200,belum,7,360,4,belum,12,15,340,neon,38,6,25,3477.45,2309.4,3334773.6
6600,sudah,4,320,20,belum,16,12,60,pijar,27,23,39,4235.51,1840.17,3126448.83
450,sudah,16,110,21,belum,10,23,0,led,17,12,97,3442.78,1702.44,706512.6
3500,sudah,12,50,22,sudah,9,6,0,neon,34,14,76,5934.12,1481.28,2516694.7199999997
2200,belum,13,0,7,belum,17,10,80,pijar,23,23,91,3892.28,1852.17,2674533.48
3500,sudah,20,200,15,belum,3,23,350,pijar,12,15,32,3100.86,2697.3,4582712.7
6600,sudah,11,100,15,belum,20,6,150,led,20,12,43,2178.11,1344.6,2284475.4
3500,sudah,16,0,21,belum,6,16,190,led,30,7,72,1733.47,1000.8,1700359.2
450,belum,13,140,14,belum,4,3,250,pijar,32,18,86,3011.04,2340.48,971299.2
3500,sudah,13,250,3,belum,4,20,90,led,24,19,11,1309.27,658.98,1119607.02
450,belum,20,310,15,belum,6,11,110,led,11,5,20,3033.49,3040.8,1261932.0
3500,sudah,9,70,14,belum,17,14,350,pijar,19,7,78,4737.21,3074.82,5224119.180000001
6600,sudah,13,200,24,sudah,1,23,100,pijar,14,9,94,4011.62,2296.32,3901447.68
5500,belum,17,20,10,sudah,9,11,190,led,28,20,92,10133.61,2211.9,3758018.1
900,sudah,3,160,0,belum,9,19,340,pijar,18,17,29,3604.51,2010.42,2718087.8400000003
3500,belum,10,140,10,sudah,0,20,110,neon,10,6,0,378.92,420.0,713580.0
5500,belum,6,110,16,belum,19,3,40,pijar,4,10,0,889.22,385.2,654454.7999999999
1300,belum,15,0,6,sudah,1,7,250,led,7,12,15,691.49,90.3,130393.2
2200,belum,20,360,9,belum,4,24,330,led,34,21,38,3920.61,3708.36,5354871.84
6600,sudah,8,270,2,belum,15,23,350,led,34,4,84,6227.27,4094.82,6957099.180000001
3500,sudah,2,360,13,belum,4,7,60,pijar,24,17,0,1238.88,331.2,562708.7999999999
450,sudah,19,290,10,sudah,11,24,20,neon,3,0,63,23461.81,1811.4,751731.0
2200,sudah,11,260,16,sudah,8,19,250,neon,20,17,40,15147.35,2920.8,4217635.2
2200,sudah,2,180,3,belum,7,5,40,pijar,6,17,89,758.93,346.74,500692.56
2200,belum,20,80,12,belum,17,1,0,neon,33,13,57,1421.17,1309.59,1891047.96
3500,belum,2,170,17,belum,10,13,190,neon,10,22,52,2218.14,1257.6,2136662.4
2200,sudah,4,310,24,sudah,14,0,370,neon,23,5,7,791.69,916.95,1324075.8
1300,sudah,13,220,9,sudah,11,5,50,led,35,18,92,6767.31,2593.5,3745014.0
2200,belum,18,200,20,belum,16,2,80,pijar,0,4,60,2111.89,2236.8,3229939.2
900,belum,1,260,11,belum,1,22,370,neon,14,16,66,899.84,773.52,1045799.0399999999
5500,belum,0,180,19,sudah,1,11,360,neon,24,9,8,1147.53,170.64,289917.36
900,sudah,4,310,10,belum,9,12,290,led,10,21,87,2443.43,1859.7,2514314.4
2200,belum,16,70,16,sudah,8,14,60,pijar,7,15,69,10329.42,956.55,1381258.2
450,sudah,1,360,21,sudah,1,4,120,neon,38,5,33,759.86,429.3,178159.5
1300,sudah,14,130,6,sudah,15,16,140,neon,24,18,78,22051.43,2346.48,3388317.12
900,belum,11,180,9,sudah,17,17,160,pijar,13,19,25,26199.08,2107.05,2848731.6
900,sudah,2,120,1,belum,11,22,180,led,8,10,77,3287.04,1498.8,2026377.5999999999
900,sudah,12,120,22,sudah,0,16,180,led,36,14,26,1212.81,1343.52,1816439.04
1300,belum,18,60,23,belum,3,18,330,neon,15,4,35,1641.56,1342.8,1939003.2
900,belum,20,140,19,sudah,4,15,30,neon,0,13,69,6379.58,1650.0,2230800.0
5500,belum,2,70,15,sudah,5,6,370,neon,15,3,47,2887.03,459.45,780605.5499999999
1300,belum,0,310,6,belum,10,20,130,led,40,0,72,2343.67,780.0,1126320.0
450,sudah,13,230,10,belum,14,10,160,led,35,17,47,3247.43,2407.95,999299.2499999999
3500,sudah,8,310,15,sudah,0,14,300,pijar,26,7,67,1513.93,1481.82,2517612.1799999997
6600,belum,6,250,12,sudah,15,5,300,pijar,12,16,23,7666.03,1347.48,2289368.52
3500,sudah,10,200,24,sudah,11,15,160,pijar,24,12,31,16278.37,2499.84,4247228.16
5500,belum,14,100,16,sudah,2,10,40,pijar,40,24,4,4073.44,811.2,1378228.8
900,belum,0,290,5,belum,4,13,210,pijar,23,17,61,1968.15,1043.13,1410311.7600000002
450,belum,8,310,17,belum,20,18,360,led,26,22,24,7623.33,5564.64,2309325.6
6600,belum,2,200,24,belum,19,9,70,led,8,17,47,2176.74,838.86,1425223.1400000001
450,sudah,6,20,8,sudah,3,10,140,pijar,32,17,34,4041.42,709.68,294517.19999999995
450,sudah,11,140,22,sudah,17,22,80,neon,0,13,62,32720.58,1914.0,794310.0
450,belum,19,320,15,sudah,7,10,120,led,3,4,60,8258.57,3009.6,1248984.0
2200,belum,12,90,12,sudah,10,13,170,neon,30,3,43,11821.69,1167.9,1686447.6
900,belum,9,100,20,sudah,17,7,250,neon,26,5,58,11315.73,1658.7,2242562.4
6600,sudah,5,20,17,belum,15,1,400,pijar,38,9,43,1288.43,672.18,1142033.8199999998
2200,sudah,15,230,13,belum,17,21,270,neon,5,17,2,6498.21,4242.3,6125881.2
3500,sudah,12,240,13,belum,4,22,70,neon,39,4,60,2112.34,1588.8,2699371.1999999997
1300,belum,11,60,12,belum,12,3,390,neon,9,3,94,929.98,734.94,1061253.36
450,sudah,2,10,11,sudah,6,0,40,led,33,3,39,120.67,122.43,50808.450000000004
450,belum,1,280,21,sudah,3,11,80,led,27,0,89,2955.03,255.6,106074.0
6600,belum,13,340,20,sudah,1,22,290,pijar,19,3,49,4288.01,2927.19,4973295.8100000005
5500,sudah,0,340,6,sudah,3,15,210,pijar,8,10,66,4239.49,441.9,750788.1
5500,sudah,9,170,12,belum,10,5,230,pijar,37,24,21,3188.48,1455.24,2472452.7600000002
3500,sudah,6,260,9,belum,19,13,360,led,18,10,8,4641.43,3132.0,5321268.0
900,belum,5,100,24,belum,8,11,180,led,22,19,23,1753.64,1123.62,1519134.2399999998
900,sudah,20,70,4,sudah,20,14,340,led,25,13,80,26396.19,3804.0,5143008.0
1300,sudah,20,280,10,sudah,5,24,40,led,9,0,34,11473.94,1824.0,2633856.0
1300,sudah,9,0,1,belum,4,3,50,neon,29,11,46,608.48,458.22,661669.68
6600,belum,1,130,1,belum,2,7,400,pijar,0,16,74,256.17,171.9,292058.10000000003
6600,sudah,7,360,21,belum,10,21,370,neon,7,20,70,5215.35,4212.6,7157207.4
6600,sudah,20,200,22,belum,6,22,170,led,39,12,4,3975.8,3369.36,5724542.640000001
900,sudah,18,80,22,sudah,3,16,400,neon,27,6,61,5590.18,1822.86,2464506.7199999997
2200,sudah,7,340,14,sudah,7,16,250,pijar,17,10,12,11148.99,1900.8,2744755.1999999997
1300,belum,11,310,21,sudah,12,11,400,led,17,13,40,14228.51,3997.5,5772390.0
450,sudah,16,350,22,sudah,18,21,200,pijar,17,14,62,37024.43,6406.68,2658772.2
2200,sudah,13,350,4,belum,3,6,140,neon,15,13,63,1031.04,990.15,1429776.5999999999
450,sudah,17,300,12,sudah,19,19,40,pijar,33,14,80,33603.22,3378.0,1401870.0
5500,belum,11,210,4,sudah,2,1,220,neon,25,4,28,515.03,374.4,636105.6
5500,sudah,14,0,12,sudah,16,17,90,pijar,23,23,83,25259.47,2051.61,3485685.39
3500,sudah,6,260,3,belum,3,7,80,led,39,11,26,683.37,525.42,892688.58
2200,belum,11,150,15,belum,15,4,220,pijar,29,14,69,2835.18,1978.92,2857560.48
900,sudah,13,90,19,sudah,18,1,340,pijar,18,22,34,3247.88,1254.42,1695975.84
1300,belum,14,290,9,belum,6,9,400,pijar,3,20,25,2005.73,1789.2,2583604.8000000003
1300,belum,12,320,3,belum,15,1,160,neon,26,23,95,2069.46,2121.9,3064023.6
6600,sudah,10,290,1,sudah,3,24,310,pijar,40,23,94,10275.54,3351.0,5693349.0
2200,sudah,2,150,24,sudah,6,17,100,neon,1,24,36,8950.84,547.92,791196.48
5500,sudah,9,140,3,sudah,9,20,150,pijar,0,16,44,15729.42,923.4,1568856.5999999999
5500,sudah,8,50,12,belum,1,22,200,led,26,19,39,980.01,853.98,1450912.02
450,sudah,14,0,6,sudah,18,11,40,pijar,34,12,99,18385.29,1449.36,601484.3999999999
2200,belum,15,210,16,belum,0,21,190,neon,8,23,73,1637.85,1914.96,2765202.24
5500,sudah,18,30,9,sudah,9,5,280,neon,39,0,1,4196.87,523.8,889936.2
450,sudah,1,110,12,sudah,3,11,50,pijar,17,20,64,3943.03,741.9,307888.5
2200,sudah,4,110,13,belum,6,15,70,pijar,30,24,28,2837.67,965.4,1394037.5999999999
2200,sudah,15,360,0,sudah,12,14,180,led,10,8,59,14837.56,1048.8,1514467.2
3500,belum,3,360,3,sudah,17,23,80,pijar,9,11,99,33804.31,1329.63,2259041.37
1300,belum,4,20,19,belum,5,0,160,neon,4,0,99,53.14,45.6,65846.40000000001
900,belum,2,80,24,sudah,17,2,140,led,24,13,40,3402.11,632.4,855004.7999999999
1300,belum,11,360,18,belum,19,15,230,neon,40,10,47,6351.73,4668.9,6741891.6
3500,belum,5,180,6,belum,3,12,0,led,10,1,80,466.45,186.0,316014.0
5500,belum,1,270,17,belum,1,7,370,led,13,7,59,377.64,376.47,639622.53
6600,sudah,3,10,23,belum,12,16,70,pijar,24,9,23,2514.74,572.94,973425.06
2200,belum,3,60,23,sudah,13,13,380,led,8,5,16,15728.65,2070.0,2989080.0
450,belum,15,110,22,sudah,15,7,60,neon,20,19,18,10158.47,1483.2,615528.0
6600,sudah,17,280,22,sudah,20,9,310,led,22,15,14,19031.2,4954.2,8417185.799999999
5500,sudah,5,350,17,belum,10,4,200,pijar,27,14,25,2152.17,1416.0,2405784.0
3500,belum,20,320,5,belum,8,5,360,pijar,31,21,40,3238.16,2173.2,3692266.8
900,sudah,17,150,11,sudah,2,19,320,led,35,1,16,4173.97,1223.1,1653631.2
1300,belum,11,220,20,sudah,8,3,210,pijar,28,6,54,3820.45,1875.36,2708019.84
2200,belum,12,130,7,belum,14,3,140,neon,13,24,28,1123.61,766.08,1106219.52
1300,sudah,13,330,21,sudah,0,12,250,neon,39,13,61,3133.66,3630.51,5242456.44
5500,sudah,18,340,5,sudah,11,4,70,led,22,20,5,4618.16,1076.4,1828803.6
2200,belum,13,350,9,sudah,8,15,240,pijar,4,10,48,11782.72,2150.1,3104744.4
6600,sudah,13,50,8,sudah,9,23,130,led,9,12,70,18227.32,1190.1,2021979.9
5500,belum,16,130,11,sudah,0,23,120,led,7,5,46,622.85,734.7,1248255.3
1300,sudah,5,140,7,sudah,18,10,370,led,28,5,88,17005.67,2514.6,3631082.4
3500,belum,8,180,24,belum,17,2,230,neon,3,15,13,1368.48,1288.95,2189926.0500000003
3500,sudah,12,10,21,sudah,4,22,380,led,5,24,78,8479.23,1359.6,2309960.4
450,belum,9,80,24,belum,6,16,290,neon,36,12,57,2714.56,2092.32,868312.8
5500,belum,6,90,19,sudah,12,17,140,neon,27,0,64,17938.4,1164.6,1978655.4
6600,sudah,1,330,8,sudah,11,18,350,neon,6,4,24,18216.73,2175.48,3696140.52
5500,sudah,7,190,24,sudah,13,15,270,neon,20,9,12,18407.07,2601.9,4420628.100000001
450,belum,0,110,6,belum,1,24,190,led,24,8,31,493.35,315.36,130874.40000000001
2200,sudah,13,160,10,sudah,3,0,380,pijar,37,17,78,2798.06,2095.86,3026421.8400000003
900,sudah,1,70,12,belum,9,10,180,neon,35,8,1,1315.43,519.6,702499.2000000001
6600,belum,16,120,15,sudah,13,24,290,pijar,1,21,100,28945.06,3641.4,6186738.600000001
3500,belum,20,200,17,sudah,20,13,280,neon,10,23,79,25583.88,4769.1,8102700.9
6600,belum,2,120,24,belum,17,13,290,led,0,6,37,3567.07,2095.5,3560254.5
5500,sudah,9,110,4,belum,17,3,300,neon,5,12,91,1057.88,741.6,1259978.4000000001
1300,sudah,10,0,19,belum,17,7,190,neon,12,22,64,2121.01,1185.18,1711399.9200000002
6600,sudah,15,80,18,sudah,9,16,300,led,3,1,65,13588.92,1949.85,3312795.15
900,sudah,18,210,13,sudah,13,21,130,neon,22,12,79,25400.53,3164.58,4278512.16
6600,sudah,17,350,7,belum,19,21,380,pijar,22,15,49,8996.62,6283.2,10675156.799999999
450,sudah,5,280,21,belum,8,9,210,led,16,3,39,1747.27,1391.76,577580.4
2200,sudah,8,20,17,sudah,17,3,320,pijar,0,4,86,4728.13,571.2,824812.8
6600,belum,7,60,7,sudah,20,23,90,pijar,16,2,43,39476.22,1371.48,2330144.52
2200,sudah,10,130,1,sudah,13,19,250,led,5,2,65,22084.54,1911.0,2759484.0
2200,sudah,4,180,10,sudah,17,12,160,led,17,11,86,18360.59,1677.66,2422541.04
2200,belum,1,160,7,sudah,14,14,120,neon,15,17,76,17484.16,1320.6,1906946.4
900,belum,20,130,21,belum,0,10,30,neon,8,21,55,1672.09,1915.2,2589350.4
450,sudah,2,340,9,sudah,14,21,270,led,10,24,39,26781.27,2845.8,1181007.0
5500,belum,11,90,19,belum,12,0,230,pijar,37,16,33,2009.69,1150.38,1954495.62
2200,sudah,11,70,19,sudah,6,9,170,pijar,40,7,63,6022.91,1243.5,1795614.0
1300,belum,10,180,14,sudah,6,15,130,led,38,17,67,9545.56,2405.46,3473484.24
6600,belum,6,120,11,sudah,10,24,180,neon,20,16,34,21616.13,1860.0,3160140.0
450,sudah,6,280,9,sudah,15,13,140,led,40,14,58,18134.34,2247.0,932505.0
6600,belum,6,200,1,sudah,14,16,210,neon,9,21,8,19922.26,1492.56,2535859.44
3500,sudah,13,150,1,belum,1,7,100,pijar,37,15,55,1837.56,995.25,1690929.75
6600,sudah,11,170,14,sudah,7,12,290,pijar,39,12,68,9808.81,2470.92,4198093.08
6600,belum,11,100,13,belum,20,7,300,neon,30,9,71,3140.68,2264.1,3846705.9
3500,sudah,17,0,11,sudah,12,10,400,neon,30,15,43,11827.43,2020.5,3432829.5
3500,sudah,5,200,8,sudah,13,13,210,led,20,8,11,15187.74,1357.5,2306392.5
6600,belum,19,30,19,sudah,15,15,60,led,18,0,23,19404.48,729.9,1240100.0999999999
6600,belum,11,80,3,sudah,6,1,0,pijar,16,12,58,1175.3,413.28,702162.72
5500,sudah,16,60,22,belum,10,5,0,led,3,15,92,1115.22,757.8,1287502.2
5500,sudah,6,170,18,belum,5,1,230,led,3,13,31,562.39,621.57,1056047.4300000002
6600,sudah,4,300,2,belum,9,6,170,led,29,22,2,899.34,385.68,655270.3200000001
5500,belum,10,310,11,sudah,9,12,140,pijar,10,10,94,10581.94,1758.6,2987861.4
6600,belum,2,90,1,sudah,10,10,110,neon,26,23,68,9821.23,1555.32,2642488.6799999997
5500,sudah,0,30,3,sudah,15,4,220,pijar,0,19,47,5310.2,396.0,672804.0
2200,sudah,11,100,23,sudah,1,19,20,neon,6,8,76,2351.24,879.84,1270488.96
5500,sudah,4,180,13,sudah,10,0,180,pijar,27,24,37,1956.13,1000.08,1699135.9200000002
1300,sudah,20,270,14,sudah,16,6,0,led,26,17,31,10250.19,2679.06,3868562.64
1300,sudah,13,40,16,belum,7,1,280,neon,14,21,11,557.47,405.42,585426.48
900,sudah,16,0,16,belum,20,2,120,neon,9,13,89,814.47,456.39,617039.28
6600,belum,3,270,15,sudah,2,14,120,neon,6,14,33,2811.07,548.46,931833.54
2200,belum,6,20,21,sudah,12,14,210,led,35,7,18,15069.81,1266.3,1828537.2
2200,sudah,13,310,16,belum,5,18,120,pijar,20,12,45,3279.52,2582.4,3728985.6
6600,sudah,17,270,19,belum,17,4,330,pijar,38,21,77,6112.51,5132.88,8720763.120000001
450,sudah,18,170,19,sudah,16,14,250,neon,36,11,3,21632.26,3459.84,1435833.6
450,belum,2,50,17,sudah,13,11,250,pijar,2,22,6,12889.57,1131.42,469539.30000000005
3500,sudah,15,300,2,belum,5,5,230,led,18,9,54,807.96,704.94,1197693.06
1300,belum,14,240,4,belum,11,16,400,neon,14,5,69,3652.83,2660.1,3841184.4
3500,sudah,0,300,1,belum,13,3,190,led,14,2,97,581.43,303.78,516122.22
3500,belum,11,240,20,belum,15,2,230,neon,33,19,26,2378.51,2280.06,3873821.94
450,belum,0,140,11,sudah,17,8,70,neon,32,2,63,11680.61,406.56,168722.4
2200,belum,14,10,13,belum,4,15,30,neon,32,9,52,1128.11,557.88,805578.72
900,sudah,5,80,13,sudah,19,12,100,neon,32,20,63,20908.19,2049.6,2771059.1999999997
5500,sudah,14,350,21,sudah,13,1,280,pijar,33,7,48,4327.82,3528.84,5995499.16
3500,sudah,9,280,21,belum,9,19,200,pijar,30,9,41,4315.3,2945.7,5004744.3
1300,belum,1,270,8,sudah,16,1,50,led,32,21,16,1791.8,411.36,594003.84
3500,sudah,19,210,15,belum,14,21,230,pijar,30,1,22,5676.15,3843.9,6530786.100000001
3500,belum,3,100,15,sudah,13,24,380,pijar,35,19,62,31062.59,4928.7,8373861.3
1300,belum,9,260,9,sudah,13,4,220,led,27,10,66,5588.42,1509.6,2179862.4
3500,sudah,20,40,3,belum,5,15,180,neon,13,1,1,1043.1,477.39,811085.61
5500,belum,17,160,19,sudah,8,5,130,led,17,14,12,4858.75,1792.08,3044743.92
1300,belum,16,250,13,belum,4,24,350,led,38,22,94,4904.87,4925.52,7112450.880000001
2200,sudah,9,170,2,belum,6,11,10,neon,8,2,18,677.23,120.24,173626.56
5500,belum,1,100,7,sudah,15,14,390,neon,38,3,84,19719.04,2765.28,4698210.720000001
3500,sudah,14,200,17,sudah,2,9,320,pijar,10,22,46,3439.66,1904.4,3235575.6
6600,belum,14,0,1,sudah,8,9,250,pijar,1,0,73,6426.21,540.0,917460.0
2200,belum,14,160,15,sudah,13,21,370,led,30,18,88,27186.18,5463.9,7889871.6
900,sudah,1,300,0,sudah,19,0,270,led,3,18,84,117.4,136.08,183980.16
450,sudah,17,130,8,belum,20,5,300,pijar,16,21,67,3148.54,2105.76,873890.4000000001
900,belum,16,270,2,sudah,13,21,280,pijar,17,2,15,24829.62,2567.7,3471530.4
1300,sudah,10,60,5,belum,20,4,50,led,34,4,72,1126.16,503.76,727429.44
6600,sudah,7,120,22,sudah,12,16,160,neon,27,7,28,17400.37,1634.76,2777457.2399999998
6600,sudah,9,60,3,belum,5,23,340,neon,16,6,49,2113.04,1362.72,2315261.2800000003
5500,belum,2,200,12,sudah,1,24,10,led,22,3,52,2217.79,254.16,431817.83999999997
6600,belum,13,90,8,belum,7,21,300,pijar,2,4,48,2577.01,1615.32,2744428.6799999997
5500,sudah,3,340,8,sudah,9,21,240,pijar,20,13,85,17998.32,2268.6,3854351.4
3500,belum,13,220,24,sudah,13,14,70,pijar,36,9,51,18119.41,2937.12,4990166.88
2200,sudah,7,260,9,belum,13,20,280,neon,9,7,54,4470.71,2777.46,4010652.24
2200,sudah,15,260,21,belum,0,7,240,led,2,14,48,2032.93,2497.32,3606130.08
5500,sudah,20,40,6,belum,19,8,400,neon,40,12,51,3676.79,2702.4,4591377.600000001
5500,sudah,6,180,2,sudah,6,20,300,pijar,25,2,65,11065.43,1242.3,2110667.6999999997
900,sudah,18,130,3,belum,12,22,160,neon,11,10,32,3589.14,1583.4,2140756.8000000003
450,belum,15,50,24,belum,3,0,210,pijar,36,12,92,2213.48,1732.32,718912.7999999999
2200,belum,8,80,5,sudah,5,19,170,neon,11,6,88,8546.75,754.74,1089844.56
2200,sudah,12,40,18,sudah,4,14,310,neon,16,23,64,6045.49,1486.56,2146592.64
6600,sudah,1,30,2,sudah,5,4,330,neon,28,13,19,2149.95,407.28,691968.72
5500,belum,4,230,18,belum,20,13,100,pijar,32,20,3,4460.91,1334.4,2267145.6
6600,belum,13,100,17,belum,16,24,240,pijar,25,21,11,7138.81,3601.05,6118183.95
5500,belum,10,280,9,belum,12,16,250,led,40,5,41,3636.89,2442.0,4148958.0
2200,sudah,8,50,24,belum,17,6,220,pijar,40,10,1,2406.0,973.2,1405300.8
900,belum,20,80,6,belum,14,14,340,led,36,8,82,4129.73,2995.68,4050159.36
6600,sudah,10,140,10,sudah,9,21,50,led,34,17,5,16507.16,790.2,1342549.8
5500,sudah,16,120,4,belum,3,2,270,neon,8,18,28,444.53,399.96,679532.0399999999
900,belum,8,360,1,sudah,14,24,160,neon,8,8,49,29435.37,1793.28,2424514.56
900,belum,16,290,15,belum,5,7,10,pijar,12,10,93,2479.3,2433.3,3289821.6
5500,sudah,18,260,7,sudah,4,16,80,pijar,31,4,74,6689.75,1411.68,2398444.3200000003
450,sudah,12,310,12,belum,12,10,110,pijar,30,2,65,2630.49,1852.2,768663.0
6600,belum,1,250,9,sudah,19,0,350,neon,16,19,78,748.97,778.86,1323283.1400000001
1300,belum,6,270,4,belum,5,0,110,neon,20,1,19,175.71,205.8,297175.2
1300,belum,18,280,16,belum,19,20,230,led,39,20,83,8984.4,6983.4,10084029.6
900,belum,8,20,16,sudah,6,3,80,pijar,11,14,8,1928.2,156.96,212209.92
3500,sudah,17,100,23,sudah,6,21,350,neon,15,9,35,12715.23,2637.75,4481537.25
6600,sudah,12,200,2,sudah,3,0,380,led,16,22,64,718.02,819.84,1392908.1600000001
1300,belum,17,20,6,sudah,0,7,220,led,10,15,37,231.74,227.7,328798.8
5500,belum,5,180,24,belum,19,17,160,pijar,34,19,22,6039.24,2624.76,4459467.24
5500,belum,20,50,17,belum,3,1,110,led,26,14,1,592.52,530.82,901863.18
1300,sudah,12,0,7,belum,17,0,40,pijar,31,20,51,1872.86,948.6,1369778.4000000001
450,sudah,13,210,4,belum,18,19,110,neon,31,6,66,4487.47,1824.48,757159.2
900,sudah,20,200,18,belum,15,5,340,pijar,15,17,23,3616.95,3100.95,4192484.4
450,belum,4,340,9,sudah,14,4,40,led,16,3,31,5059.76,479.04,198801.6
1300,sudah,12,160,21,belum,6,7,320,led,20,22,60,2392.5,2404.8,3472531.2
6600,belum,6,200,22,belum,1,24,60,led,0,12,33,892.41,835.2,1419004.8
900,sudah,4,40,0,belum,15,20,140,neon,11,3,14,3611.71,1273.86,1722258.72
1300,belum,0,200,16,belum,1,6,70,neon,35,17,73,1350.32,1315.65,1899798.6
6600,sudah,14,190,15,sudah,5,8,350,neon,27,10,37,5003.64,1916.7,3256473.3000000003
5500,belum,16,260,21,belum,8,9,390,neon,36,9,79,4160.91,4231.08,7188604.92
2200,sudah,16,10,21,belum,20,3,340,led,4,3,23,1162.88,721.08,1041239.52
450,sudah,16,10,5,belum,1,10,230,neon,15,10,61,460.06,367.5,152512.5
1300,sudah,17,180,11,sudah,14,10,170,neon,24,3,78,13223.56,1892.28,2732452.32
5500,belum,14,280,4,belum,11,4,120,pijar,4,14,52,1055.35,716.16,1216755.8399999999
3500,sudah,12,260,10,sudah,8,17,80,pijar,33,21,94,15121.76,3216.66,5465105.34
6600,belum,11,60,16,sudah,14,11,310,neon,7,17,4,14308.45,1763.28,2995812.7199999997
5500,belum,16,180,23,belum,12,23,130,neon,27,6,78,5245.08,3442.68,5849113.319999999
5500,sudah,1,80,22,sudah,0,3,200,neon,17,13,21,254.84,192.03,326258.97000000003
1300,sudah,5,250,24,belum,10,9,170,pijar,11,3,10,1938.21,1368.9,1976691.6
6600,belum,10,200,8,belum,1,1,270,led,26,2,69,504.06,595.74,1012162.26
6600,sudah,1,50,15,belum,19,3,230,led,6,22,29,939.26,530.64,901557.36
450,belum,4,260,2,belum,12,3,330,led,2,9,94,685.14,469.56,194867.4
1300,belum,19,70,20,belum,10,7,340,neon,29,1,46,1922.32,1552.02,2241116.88
2200,sudah,13,300,3,belum,4,14,180,led,21,8,90,1394.7,1107.0,1598508.0
3500,belum,15,310,13,sudah,6,19,110,neon,23,16,59,11935.78,2841.06,4826960.9399999995
2200,sudah,10,80,8,sudah,5,14,340,pijar,35,2,94,6841.14,1103.4,1593309.6
900,belum,7,250,13,sudah,14,0,250,led,20,20,31,926.88,1054.5,1425684.0
900,sudah,10,20,24,belum,5,18,10,neon,9,2,16,982.68,179.64,242873.27999999997
5500,belum,3,20,10,sudah,10,5,70,neon,38,6,34,4554.66,355.56,604096.4400000001
3500,sudah,14,330,15,sudah,3,7,40,led,32,0,32,3445.69,2104.2,3575035.8
5500,belum,14,130,18,sudah,3,14,290,led,23,20,35,5084.19,1831.2,3111208.8000000003
1300,belum,14,240,4,belum,17,8,350,neon,36,9,13,2870.27,1957.56,2826716.64
3500,sudah,5,320,7,belum,18,11,70,led,21,14,73,2875.31,1395.66,2371226.3400000003
