id_user,daya_listrik,kulkas_inverter,kulkas_num,kulkas_power,ac_inverter,ac_num,ac_consume_hour,ac_power,lamp_type,lamp_num,lamp_consume_hour,lamp_power,others_power_total,co2_produce_electric_per_month,biaya_per_month,watt_per_month
63,1300,sudah,16,260,sudah,15,3,230,led,13,21,24,106,17.83,30581.4096,21.168
64,1300,sudah,17,50,sudah,17,15,10,neon,36,19,13,759,12.99,18854.7797,13.051
65,5500,sudah,9,40,belum,3,16,340,neon,33,22,23,105,28.25,56905.36299,33.483
66,900,belum,1,110,sudah,16,1,210,led,5,11,94,287,7.46,12069.304,8.927
67,900,sudah,11,100,sudah,19,1,150,led,12,21,42,801,12.83,20732.92,15.335
68,3500,belum,15,50,belum,14,21,140,pijar,37,21,14,672,47.86,90856.8738,53.46
69,6600,sudah,17,10,belum,0,7,110,neon,32,18,55,841,27.16,55559.33523,32.691
70,450,belum,10,130,sudah,15,0,210,neon,11,5,82,651,5.38,2681.315,6.461
71,1300,belum,7,80,belum,1,20,320,neon,38,5,63,199,15.98,27635.6663,19.129
72,450,sudah,0,260,belum,13,19,340,pijar,37,7,90,83,90.65,44559.795,107.373
73,6600,sudah,15,90,belum,3,7,50,neon,40,11,36,15,15.43,31024.92015,18.255
74,6600,belum,14,360,sudah,12,1,80,pijar,18,15,65,378,20.27,40666.35384,23.928
75,450,sudah,1,10,belum,15,3,360,pijar,5,2,59,845,14.88,7322.675,17.645
76,1300,belum,12,360,sudah,9,7,390,led,34,15,31,177,37.43,64833.8019,44.877
77,450,sudah,10,80,belum,7,12,80,neon,16,0,29,15,6.96,3127.025,7.535
78,1300,sudah,14,40,sudah,3,23,270,led,15,4,86,809,21.23,36347.2073,25.159
79,450,belum,0,70,sudah,0,8,50,neon,1,23,70,389,1.65,829.585,1.999
80,6600,sudah,5,190,sudah,8,10,380,pijar,18,16,53,321,39.62,79767.44055,46.935
81,6600,sudah,9,30,sudah,3,16,360,led,7,13,36,870,18.21,36873.00288,21.696
82,2200,belum,10,310,sudah,6,0,150,pijar,19,24,47,914,21.74,36761.8362,25.446
83,6600,belum,16,280,belum,14,21,300,pijar,40,6,12,610,81.92,163443.8001,96.17
84,450,sudah,9,260,belum,15,3,320,led,6,18,88,928,22.74,11276.38,27.172
85,2200,sudah,14,280,sudah,18,12,30,neon,13,6,7,354,10.98,16325.11,11.3
86,6600,sudah,2,0,belum,7,7,180,pijar,21,18,97,24,38.43,77345.6103,45.51
87,900,belum,7,160,belum,4,6,30,neon,31,22,17,875,12.29,19345.768,14.309
88,900,sudah,4,150,belum,13,6,160,neon,23,10,95,707,30.02,48181.224,35.637
89,1300,sudah,8,220,sudah,14,5,390,neon,23,8,78,962,37.03,64107.1178,44.374
90,3500,belum,13,130,belum,0,22,140,pijar,21,21,47,449,19.61,38861.45298,22.866
91,1300,sudah,7,230,belum,5,2,360,led,18,1,3,948,5.22,8974.4764,6.212
92,900,sudah,9,320,sudah,15,1,360,neon,15,8,39,672,11.39,18430.464,13.632
93,6600,sudah,10,340,belum,16,11,350,neon,6,18,5,911,56.12,112935.468,66.451
94,2200,sudah,11,160,belum,17,23,210,pijar,16,15,54,879,84.00,141160.1923,97.709
95,6600,sudah,8,50,belum,19,23,10,neon,31,2,83,463,12.37,17639.42187,10.379
96,1300,belum,10,280,sudah,15,5,260,led,18,12,51,42,28.01,48192.3026,33.358
97,6600,sudah,19,30,sudah,6,12,340,led,40,22,73,639,74.55,152837.0334,89.929
98,900,sudah,4,30,sudah,13,20,340,pijar,25,8,66,827,86.40,138643.544,102.547
99,1300,belum,12,310,belum,18,8,350,neon,26,12,13,750,49.77,85130.3922,58.926
100,900,sudah,14,350,belum,10,10,360,neon,39,14,59,315,61.40,99276.008,73.429
101,2200,sudah,20,240,sudah,17,24,140,pijar,8,14,52,10,58.89,97884.2038,67.754
102,900,belum,11,50,sudah,6,14,380,led,29,0,74,407,27.64,44449.704,32.877
103,3500,sudah,4,270,sudah,11,14,350,neon,30,23,25,192,60.86,123083.3617,72.422
104,1300,sudah,11,330,sudah,15,19,310,led,24,16,51,51,93.77,161250.1905,111.615
105,1300,sudah,20,330,sudah,0,4,340,pijar,23,10,62,839,18.31,31348.5453,21.699
106,5500,belum,7,160,belum,3,14,170,led,9,14,60,646,13.93,27984.46098,16.466
107,6600,sudah,3,140,sudah,9,11,30,pijar,3,13,52,745,5.87,10474.20339,6.163
108,3500,belum,6,290,belum,14,15,130,led,7,17,46,663,30.72,59784.36681,35.177
109,3500,sudah,17,20,belum,10,9,130,pijar,18,17,59,157,26.23,51412.48203,30.251
110,6600,sudah,17,110,belum,13,4,320,neon,39,21,17,183,27.66,55431.87048,32.616
111,450,sudah,1,170,belum,10,1,170,neon,30,22,12,764,9.04,4379.91,10.554
112,900,belum,7,240,belum,7,23,80,neon,10,17,39,329,19.15,29093.688,21.519
113,6600,sudah,3,100,belum,18,2,80,led,12,13,52,99,9.70,19359.34623,11.391
114,3500,sudah,4,310,sudah,14,14,270,led,1,6,3,655,46.44,93190.32849,54.833
115,1300,sudah,15,340,sudah,12,6,210,neon,12,3,27,828,18.69,31812.294,22.02
116,1300,belum,11,20,sudah,9,16,0,pijar,3,14,23,422,2.52,2323.0776,1.608
117,2200,sudah,10,0,sudah,18,0,170,pijar,17,14,36,168,7.64,12620.8992,8.736
118,6600,belum,14,190,sudah,5,13,140,neon,28,1,85,259,12.38,24471.53247,14.399
119,3500,sudah,3,40,belum,3,23,120,led,20,21,59,807,28.57,57761.92611,33.987
120,450,sudah,15,40,belum,11,22,400,led,21,6,90,287,91.61,45246.205,109.027
121,900,belum,10,360,belum,0,19,280,neon,34,1,22,124,3.74,6046.144,4.472
122,5500,belum,7,320,sudah,4,23,190,neon,20,9,7,28,18.03,35703.72624,21.008
123,2200,sudah,5,280,sudah,4,10,230,pijar,3,4,85,55,9.92,16866.8725,11.675
124,1300,sudah,8,100,sudah,5,18,120,led,18,10,18,998,13.73,22881.1586,15.838
125,6600,belum,3,260,belum,20,12,50,led,5,2,24,746,13.39,23395.72998,13.766
126,1300,belum,8,50,belum,12,14,190,neon,28,18,17,83,35.32,59190.8037,40.971
127,900,sudah,6,90,sudah,18,10,130,neon,0,19,74,199,21.16,32635.928,24.139
128,3500,sudah,17,310,sudah,15,12,270,led,11,12,25,746,48.94,98429.97948,57.916
129,6600,sudah,11,330,belum,20,12,10,led,27,17,67,205,32.56,62862.21564,36.988
130,6600,belum,8,170,belum,3,10,310,led,33,22,98,750,68.15,140309.7977,82.558
131,3500,belum,20,100,belum,8,7,50,led,24,6,29,690,8.55,16427.65698,9.666
132,6600,belum,18,340,sudah,8,13,140,neon,25,16,90,867,48.24,97802.85291,57.547
133,5500,belum,1,20,sudah,18,18,210,led,31,10,60,895,74.27,148802.3492,87.555
134,6600,sudah,5,220,belum,19,8,150,led,23,8,92,717,35.45,70606.97385,41.545
135,6600,sudah,20,190,belum,11,5,180,pijar,24,11,18,984,17.00,33032.06508,19.436
136,1300,sudah,4,20,sudah,4,7,0,neon,22,20,9,96,3.82,5975.2792,4.136
137,1300,belum,9,0,belum,5,2,100,neon,39,19,6,79,5.00,7981.9675,5.525
138,450,sudah,19,320,sudah,19,19,310,neon,6,18,39,577,103.51,50953.285,122.779
139,450,belum,5,100,sudah,19,1,200,led,19,9,54,911,12.05,5994.675,14.445
140,6600,belum,2,170,belum,11,4,250,neon,15,10,45,566,15.76,31706.43168,18.656
141,2200,belum,13,180,belum,5,15,30,led,40,19,92,922,62.73,108976.6104,75.432
142,900,belum,19,340,belum,4,6,60,neon,29,16,43,979,24.16,38979.512,28.831
143,450,belum,8,100,belum,6,6,70,neon,23,2,11,602,4.01,1837.62,4.428
144,5500,belum,19,0,belum,12,18,30,pijar,11,23,73,187,23.04,42719.38608,25.136
145,3500,belum,12,250,sudah,3,15,270,neon,28,0,11,33,12.85,25803.96399,15.183
146,2200,belum,14,200,belum,0,4,30,pijar,15,24,64,313,22.17,37783.2391,26.153
147,450,sudah,9,360,sudah,5,2,250,led,22,13,27,79,11.28,5619.515,13.541
148,900,belum,9,230,belum,11,4,30,pijar,24,9,60,576,14.70,22883.952,16.926
149,5500,belum,20,70,sudah,20,17,0,pijar,38,13,25,912,15.54,24918.50886,14.662
150,1300,belum,11,130,sudah,13,16,230,pijar,5,3,51,335,42.93,72769.539,50.37
151,900,sudah,9,180,sudah,18,21,340,neon,24,16,68,475,131.54,211894.904,156.727
152,6600,belum,4,140,sudah,14,5,400,pijar,18,14,94,341,44.12,89376.58317,52.589
153,450,belum,15,300,sudah,17,14,110,led,16,12,0,316,27.30,12863.34,30.996
154,3500,belum,14,30,sudah,4,8,240,led,15,1,42,350,7.76,15431.7324,9.08
155,2200,belum,20,210,belum,0,15,150,neon,40,15,7,690,7.83,13132.323,9.09
156,2200,sudah,8,130,belum,12,24,20,pijar,40,2,1,643,8.85,10868.4781,7.523
157,2200,sudah,14,290,sudah,13,4,150,neon,15,12,56,905,19.28,33004.1715,22.845
158,5500,sudah,9,280,sudah,5,16,390,neon,13,7,75,655,34.47,70020.636,41.2
159,450,belum,4,210,belum,1,23,340,pijar,12,14,16,163,9.96,4777.065,11.511
160,5500,belum,2,40,belum,20,3,250,neon,39,4,51,171,19.63,39440.99271,23.207
161,5500,belum,1,170,belum,3,5,250,pijar,3,13,16,187,4.08,8040.47643,4.731
162,5500,sudah,11,20,belum,11,21,60,led,20,8,93,713,26.42,50430.15369,29.673
163,450,belum,10,340,belum,15,11,160,neon,4,6,90,377,28.01,13419.855,32.337
164,900,belum,9,280,belum,14,14,230,neon,11,4,98,314,44.59,70609.552,52.226
165,5500,belum,12,180,belum,15,18,20,neon,27,24,11,206,14.91,25312.79982,14.894
166,6600,belum,14,180,sudah,15,13,260,neon,28,19,16,160,52.51,105187.3108,61.892
167,1300,sudah,8,210,belum,9,8,90,pijar,34,18,56,627,37.07,62207.3373,43.059
168,450,belum,7,110,belum,4,22,40,led,40,9,10,104,7.43,3317.51,7.994
169,900,belum,0,0,sudah,14,22,180,pijar,7,17,92,153,57.06,89963.432,66.541
170,2200,belum,11,220,belum,13,15,400,pijar,22,14,41,79,78.66,134540.5769,93.127
171,450,sudah,3,180,sudah,15,7,190,neon,31,18,14,609,24.75,11998.065,28.911
172,3500,belum,3,220,belum,7,17,270,neon,31,12,30,733,37.85,75940.09899,44.683
173,5500,sudah,9,330,belum,5,14,400,led,9,21,29,511,31.00,62818.02786,36.962
174,2200,sudah,19,240,belum,17,6,240,pijar,10,11,57,190,30.29,51286.85,35.5
175,3500,sudah,20,110,belum,14,21,380,pijar,2,16,55,331,97.84,197164.1748,116.011
176,6600,sudah,2,110,sudah,17,10,360,pijar,16,16,13,763,55.45,111337.9098,65.511
177,2200,sudah,9,320,belum,20,16,250,neon,7,5,51,225,72.45,122640.583,84.89
178,450,sudah,1,210,sudah,5,20,220,led,16,3,60,486,21.73,10614.04,25.576
179,450,sudah,5,170,sudah,20,10,150,led,11,24,78,956,44.53,21745.17,52.398
180,2200,sudah,6,240,belum,20,11,10,pijar,2,1,26,968,5.76,6732.302,4.66
181,450,belum,5,150,sudah,4,10,110,pijar,37,10,27,803,14.06,6616.345,15.943
182,450,sudah,16,40,belum,16,10,250,led,38,23,89,605,99.25,49397.865,119.031
183,6600,sudah,7,230,belum,16,9,250,led,37,2,70,199,36.55,73061.09517,42.989
184,6600,sudah,2,150,sudah,11,7,250,neon,21,24,80,624,50.41,102811.3678,60.494
185,6600,sudah,2,120,belum,18,24,130,led,25,24,24,249,62.13,120749.907,71.049
186,450,belum,12,340,belum,18,23,180,neon,16,13,47,711,76.80,36971.105,89.087
187,900,belum,12,60,sudah,0,6,370,neon,25,18,32,49,12.71,20508.488,15.169
188,1300,belum,6,50,sudah,18,0,360,led,10,14,80,418,9.83,17217.9346,11.918
189,3500,sudah,3,130,sudah,13,20,190,neon,15,22,49,195,56.34,112432.4072,66.155
190,3500,sudah,7,170,belum,20,20,140,pijar,11,22,35,940,58.55,113188.698,66.6
191,6600,sudah,20,140,belum,17,17,340,pijar,11,18,68,681,97.43,195794.3537,115.205
192,3500,belum,3,190,sudah,3,24,50,pijar,29,21,50,623,30.54,59896.53579,35.243
193,450,sudah,3,90,belum,10,15,180,led,29,7,48,632,32.23,15623.09,37.646
194,1300,belum,9,310,belum,7,23,270,pijar,38,1,32,537,40.88,69364.3811,48.013
195,2200,sudah,11,290,sudah,5,8,80,led,26,9,63,622,18.24,31428.0038,21.754
196,3500,belum,11,160,sudah,11,6,50,pijar,3,3,25,81,4.97,9119.67798,5.366
197,1300,belum,0,0,belum,9,9,270,led,13,3,91,188,21.71,36994.4329,25.607
198,3500,sudah,1,330,belum,0,20,270,neon,19,10,50,653,8.69,17816.17299,10.483
199,450,belum,4,40,belum,16,18,110,neon,32,18,72,415,63.23,30596.705,73.727
200,3500,sudah,10,200,belum,5,8,150,led,39,12,25,589,17.13,34481.76417,20.289
201,450,sudah,8,130,belum,14,7,240,neon,14,5,99,29,26.77,13080.385,31.519
202,3500,sudah,16,70,sudah,10,12,270,pijar,28,20,19,385,38.51,75705.56385,44.545
203,5500,sudah,12,30,belum,1,15,360,neon,10,5,80,245,8.42,17003.79765,10.005
204,900,belum,15,20,belum,9,12,360,neon,25,10,59,710,45.93,73873.28,54.64
205,900,sudah,11,50,belum,9,7,140,led,12,12,42,995,14.09,22190.376,16.413
206,3500,sudah,2,10,sudah,7,20,130,neon,19,4,9,72,16.64,32250.28128,18.976
207,1300,sudah,7,180,belum,16,0,370,led,39,24,58,267,45.99,80635.9305,55.815
208,2200,belum,10,300,belum,12,21,390,pijar,29,21,67,696,120.41,206272.8213,142.779
209,450,sudah,18,230,belum,20,17,10,led,20,18,83,818,34.47,15868.77,38.238
210,450,belum,2,350,sudah,3,19,240,pijar,36,21,96,28,73.11,36098.36,86.984
211,6600,belum,15,300,belum,8,6,200,neon,16,17,63,659,26.77,54206.50935,31.895
212,900,sudah,15,20,belum,1,0,100,pijar,28,4,59,153,6.07,9546.472,7.061
213,6600,sudah,1,30,sudah,19,21,190,led,19,1,94,908,67.37,133470.889,78.534
214,900,sudah,7,190,belum,20,8,370,pijar,40,3,56,871,57.50,92099.592,68.121
215,5500,sudah,9,340,sudah,1,14,170,neon,18,19,75,730,26.40,54079.0446,31.82
216,450,belum,0,180,belum,19,21,320,led,39,17,88,328,156.40,77336.08,186.352
217,2200,belum,6,280,sudah,9,7,300,led,19,3,57,394,20.37,34994.9681,24.223
218,2200,belum,18,90,belum,1,7,380,led,2,8,78,362,4.99,8509.283,5.89
219,3500,sudah,20,330,belum,11,3,90,led,8,11,48,806,12.38,24813.138,14.6
220,2200,belum,20,160,sudah,9,10,310,led,5,16,59,408,30.50,52338.5916,36.228
221,450,sudah,7,0,sudah,17,11,250,pijar,6,2,98,887,41.47,20257.395,48.813
222,3500,belum,12,180,belum,4,5,250,neon,34,1,63,189,8.04,16130.23923,9.491
223,6600,sudah,14,0,belum,3,12,220,pijar,5,20,61,940,12.83,25424.9688,14.96
224,3500,belum,11,240,belum,9,20,340,neon,28,0,34,16,53.98,108525.1877,63.856
225,6600,belum,0,20,belum,19,7,180,pijar,4,0,81,660,21.32,41808.438,24.6
226,5500,belum,19,150,sudah,3,1,180,neon,21,3,68,459,6.82,13822.27749,8.133
227,6600,belum,4,100,belum,13,18,30,neon,7,7,44,966,10.72,17916.44526,10.542
228,6600,sudah,3,20,sudah,0,1,290,led,11,10,93,177,8.62,17788.98051,10.467
229,900,belum,18,10,belum,15,0,240,pijar,24,14,86,807,25.20,40401.816,29.883
230,2200,belum,12,290,sudah,18,9,20,neon,11,21,9,740,9.19,13780.9933,9.539
231,5500,belum,3,180,belum,18,13,280,neon,21,0,99,826,56.89,113674.7636,66.886
232,3500,sudah,16,360,belum,6,18,0,pijar,26,9,33,371,12.80,23543.58909,13.853
233,3500,sudah,14,340,belum,11,3,350,led,5,21,10,208,14.79,29857.34304,17.568
234,3500,sudah,19,0,belum,3,15,390,pijar,18,13,33,378,21.95,43592.9445,25.65
235,450,belum,20,230,sudah,8,17,190,neon,25,0,13,598,26.57,12880.77,31.038
236,3500,sudah,15,270,belum,4,19,340,neon,22,17,79,957,50.43,102639.7153,60.393
237,5500,sudah,5,280,belum,2,22,380,led,4,20,82,59,20.71,42044.67267,24.739
238,2200,belum,10,350,belum,0,0,250,led,28,6,5,494,4.05,6983.6798,4.834
239,900,sudah,18,80,sudah,12,1,130,neon,23,11,7,133,4.32,6630.208,4.904
240,3500,sudah,3,240,belum,14,21,360,neon,2,8,72,148,91.02,183311.3058,107.86
241,900,sudah,7,310,sudah,12,17,380,pijar,14,8,85,74,74.96,120711.968,89.284
242,3500,belum,5,310,belum,1,17,110,pijar,4,7,47,440,4.47,8796.76728,5.176
243,450,belum,4,340,belum,5,5,270,neon,2,21,58,797,9.56,4707.345,11.343
244,2200,belum,0,130,sudah,17,16,130,pijar,4,21,49,945,35.31,58396.2187,40.421
245,900,belum,17,230,sudah,3,14,300,pijar,3,12,47,450,15.76,25217.504,18.652
246,900,sudah,5,10,sudah,0,22,250,pijar,7,12,87,803,6.87,11033.672,8.161
247,1300,sudah,19,80,sudah,0,5,10,led,5,14,69,326,5.59,9644.8172,6.676
248,1300,belum,10,130,belum,5,4,230,pijar,15,7,15,889,7.27,12083.4708,8.364
249,900,belum,19,310,sudah,16,10,300,pijar,2,12,64,82,46.85,75046.816,55.508
250,2200,sudah,12,210,sudah,11,6,0,neon,33,13,56,960,23.30,39735.0288,27.504
251,6600,belum,7,160,sudah,5,14,30,pijar,23,6,98,465,14.92,29247.21177,17.209
252,6600,belum,1,250,belum,15,9,320,led,23,6,18,310,39.12,78593.06532,46.244
253,1300,sudah,8,300,sudah,3,16,30,pijar,6,10,70,585,7.58,12460.5375,8.625
254,2200,belum,3,350,belum,18,15,150,neon,2,2,88,39,36.75,60592.1627,41.941
255,900,sudah,17,160,sudah,13,22,360,neon,6,0,55,635,89.39,143737.88,106.315
256,2200,sudah,14,130,sudah,16,24,330,led,19,7,100,755,119.88,206006.9965,142.595
257,5500,sudah,9,90,sudah,4,4,60,pijar,5,22,34,124,4.98,9575.15202,5.634
258,3500,belum,11,310,belum,1,3,40,led,29,14,35,651,15.25,31256.05623,18.391
259,3500,sudah,9,20,belum,17,3,80,neon,19,17,36,598,14.15,28018.45158,16.486
260,1300,belum,2,340,sudah,13,18,80,neon,27,16,52,597,36.76,61343.4067,42.461
261,1300,belum,1,120,belum,11,9,30,led,11,17,78,184,15.55,25802.342,17.86
262,6600,sudah,1,320,belum,18,7,110,led,33,17,52,129,36.86,73897.26393,43.481
263,6600,belum,5,140,sudah,4,19,340,neon,35,9,85,734,45.05,91857.89697,54.049
264,2200,belum,2,240,sudah,2,20,180,neon,0,7,34,513,7.03,11836.4271,8.193
265,1300,sudah,15,270,sudah,4,6,200,pijar,24,18,71,935,34.21,58448.2279,40.457
266,900,belum,17,310,belum,20,9,270,led,10,22,74,162,59.35,95061.824,70.312
267,450,belum,0,250,belum,20,6,70,pijar,27,4,27,303,10.76,4821.885,11.619
268,6600,sudah,9,340,sudah,14,9,50,neon,2,14,89,304,10.96,20659.48668,12.156
269,5500,belum,8,150,sudah,18,5,360,neon,10,15,21,12,30.92,62478.12186,36.762
270,900,sudah,3,230,belum,6,23,400,led,10,15,34,539,51.70,83187.208,61.529
271,1300,sudah,4,120,sudah,2,11,80,led,12,8,28,820,4.92,8304.1356,5.748
272,3500,belum,0,190,belum,10,2,350,pijar,20,6,17,792,8.45,16709.77896,9.832
273,900,sudah,9,340,belum,10,21,50,pijar,29,21,23,164,25.70,37492.312,27.731
274,6600,sudah,16,90,belum,10,18,50,pijar,0,18,97,499,10.62,18591.15867,10.939
275,2200,belum,13,90,belum,4,0,290,led,9,20,20,437,4.38,7522.5529,5.207
276,900,sudah,4,20,belum,5,2,360,neon,34,21,8,933,8.90,13959.4,10.325
277,1300,belum,5,240,belum,6,7,300,led,11,23,79,375,28.45,49353.8414,34.162
278,6600,sudah,19,260,sudah,4,24,290,neon,6,1,19,598,28.28,56920.65876,33.492
279,6600,belum,1,50,belum,15,17,120,led,39,20,43,89,55.08,109244.0889,64.279
280,6600,sudah,20,60,belum,3,22,200,led,19,8,47,39,18.41,36680.95599,21.583
281,6600,belum,3,240,belum,3,13,30,pijar,27,16,89,842,34.90,69986.6454,41.18
282,900,sudah,18,300,belum,12,16,350,pijar,17,11,4,262,62.46,99520.72,73.61
283,1300,sudah,12,220,sudah,14,7,200,neon,34,23,31,979,40.06,68566.9067,47.461
284,3500,sudah,12,110,sudah,5,15,70,pijar,16,3,76,21,9.10,17401.48767,10.239
285,5500,belum,7,70,sudah,15,3,170,neon,22,18,64,362,28.30,57522.29238,33.846
286,3500,sudah,14,240,sudah,20,4,20,pijar,12,3,45,237,6.32,11585.69601,6.817
287,1300,belum,0,100,belum,12,5,100,led,12,14,15,861,8.25,13552.7307,9.381
288,1300,belum,10,170,belum,12,12,20,neon,36,1,62,840,7.59,11054.8444,7.652
289,5500,sudah,13,20,belum,4,12,250,pijar,21,7,60,517,18.46,36704.74941,21.597
290,6600,sudah,5,230,sudah,16,1,390,neon,13,10,99,967,17.61,36075.92331,21.227
291,900,belum,20,70,sudah,0,15,320,led,21,20,57,536,21.41,34984.352,25.876
292,5500,sudah,12,10,sudah,13,5,230,neon,23,15,75,970,35.07,71235.79995,41.915
293,1300,sudah,17,40,sudah,20,15,350,neon,34,15,48,292,109.52,188464.0044,130.452
294,6600,sudah,8,130,belum,0,2,280,neon,34,24,11,490,9.03,17855.26218,10.506
295,2200,sudah,11,60,sudah,5,5,330,pijar,25,2,25,860,9.37,15920.594,11.02
296,1300,sudah,0,180,sudah,0,15,20,neon,23,8,79,499,12.41,21721.0645,15.035
